1863,4,1,Wednesday,DWR_1863_04-0.jpg
NAIRN,29.97,49,4,0
ABERDEEN,30.04,46,2,0
LEITH,30.05,49,4,0
ARDROSSAN,30.04,45,2,0
PORTRUSH,29.97,48,2,0
GALWAY,29.94,50,0,0
VALENTIA,29.92,50,1,0.17
QUEENSTOWN,29.98,52,1,0
HOLYHEAD,30.07,52,3,0
LIVERPOOL,30.15,41,3,0
PEMBROKE,30.11,45,2,0
PENZANCE,30.1,48,1,0
BREST,30.04,50,4,0
LORIENT,30.04,50,4,0
ROCHEFORT,30,43,3,0
PLYMOUTH,30.09,49,3,0
WEYMOUTH,30.12,47,3,0
PORTSMOUTH,30.11,45,4,0
KEW,30.18,39,3,0
LONDON,30.19,37,2,0
DOVER,30.25,47,3,0
YARMOUTH,30.24,44,4,0
SCARBOROUGH,30.19,40,2,0
SHIELDS,30.17,41,4,0
HELIGOLAND,30.33,36,2,0
COPENHAGEN,30.21,36,999,0
HELDER,30.29,39,999,0
LISBON,29.99,55,999,0
