1862,4,30,Wednesday,DWR_1862_04-26.jpg
NAIRN,30.04,59,52,0
ABERDEEN,30.16,49,47,0
LEITH,30.11,60,53,0
BERWICK,30.19,54,49,0
ARDROSSAN,30.02,55,999,0
PORTRUSH,29.97,52,51,0
GALWAY,29.89,60,58,0
SHIELDS,30.22,52,48,0
SCARBOROUGH,30.24,53,50,0
HELIGOLAND,30.5,55,51,0
LIVERPOOL,30.11,56,50,0
QUEENSTOWN,29.92,59,58,0
VALENTIA,29.88,56,55,0
YARMOUTH,30.25,52,49,0
LONDON,30.17,55,51,0
DOVER,30.19,57,55,0
PORTSMOUTH,30.1,55,50,0
PORTLAND,30.03,55,50,0
PLYMOUTH,29.95,57,52,0
PENZANCE,29.97,57,55,0
JERSEY,29.99,55,50,0
COPENHAGEN,999,999,999,999
HELDER,30.37,54,999,0
BREST,29.87,59,999,0
BAYONNE,999,64,999,0
LISBON,29.87,62,999,0
