1863,6,27,Saturday,DWR_1863_06-24.jpg
NAIRN,29.59,58,5,0
ABERDEEN,29.6,59,4,0
LEITH,29.66,61,5,0
SHIELDS,29.77,60,3,0
SCARBOROUGH,29.8,58,2,0
GREENCASTLE,29.67,55,2,0.11
GALWAY,29.83,59,0,0.5
VALENTIA,29.95,57,3,0.13
QUEENSTOWN,29.92,59,2,0
LIVERPOOL,29.86,60,5,0.01
HOLYHEAD,29.83,57,2,0
PEMBROKE,29.95,55,1,0.17
PENZANCE,30.06,59,0,0.3
BREST,30.12,57,0,0.04
LORIENT,30.12,61,2,0
ROCHEFORT,30.2,63,4,0
PLYMOUTH,30.03,61,3,0.25
WEYMOUTH,29.99,58,1,0.14
PORTSMOUTH,30.01,57,1,0.14
LONDON,29.99,57,2,0.02
DOVER,30.04,57,6,0
YARMOUTH,29.95,57,2,0
HELDER,29.98,61,999,0
HELIGOLAND,29.95,57,1,0.23
