1863,3,17,Tuesday,DWR_1863_03-14.jpg
NAIRN,30.32,35,4,0
ABERDEEN,30.25,37,2,0.18
LEITH,30.29,40,4,0
ARDROSSAN,30.34,38,1,0
PORTRUSH,30.33,39,1,0
GALWAY,30.34,39,2,0
VALENTIA,30.31,47,1,0
QUEENSTOWN,30.34,42,1,0
HOLYHEAD,30.3,41,1,0
LIVERPOOL,30.33,38,3,0
PEMBROKE,30.34,39,1,0
PENZANCE,30.36,41,1,0
BREST,30.28,39,2,0
LORIENT,30.2,41,4,0
ROCHEFORT,30.12,41,3,0
PLYMOUTH,30.32,39,2,0
WEYMOUTH,30.29,40,3,0
PORTSMOUTH,30.22,38,3,0
KEW,30.24,37,2,0
LONDON,30.2,36,2,0
YARMOUTH,30.12,41,4,0
SCARBOROUGH,30.19,41,2,0
SHIELDS,30.28,37,3,0
HELIGOLAND,29.91,39,0,0
COPENHAGEN,29.85,36,999,0
HELDER,30,38,999,0
BAYONNE,999,44,999,0
LISBON,30.19,56,999,0
