1863,8,3,Monday,DWR_1863_08-2.jpg
NAIRN,29.83,57,1,0.23
ABERDEEN,29.87,56,1,0.65
LEITH,29.84,62,3,0
SHIELDS,29.93,61,2,0
SCARBOROUGH,29.95,61,2,0
GREENCASTLE,29.77,61,3,0.23
GALWAY,29.78,62,0,1.5
VALENTIA,999,999,999,999
QUEENSTOWN,29.9,63,1,1.54
LIVERPOOL,29.92,65,4,0.04
HOLYHEAD,29.85,61,1,0.3
PEMBROKE,29.95,63,2,0.27
PENZANCE,30.03,63,2,0.55
BREST,30.08,64,2,0.04
LORIENT,30.04,66,3,999
ROCHEFORT,30.24,63,2,999
PLYMOUTH,30.04,66,3,0.15
WEYMOUTH,30.04,62,1,0.06
PORTSMOUTH,30.04,66,5,0.09
LONDON,30.06,69,6,0.04
DOVER,30.07,71,3,999
YARMOUTH,30.05,64,4,999
HELIGOLAND,29.93,62,1,999
