1862,8,28,Thursday,DWR_1862_08-23.jpg
NAIRN,30.09,58,57,0.16
ABERDEEN,30.1,58,55,0
LEITH,30.09,61,58,0
BERWICK,30.11,58,53,0
ARDROSSAN,30.11,58,56,0.22
PORTRUSH,30.16,58,54,0
GALWAY,30.23,60,55,0
VALENTIA,30.27,59,56,999
QUEENSTOWN,30.25,58,56,0
HOLYHEAD,30.16,?68,66,0.2
LIVERPOOL,30.14,61,59,0.02
PEMBROKE,30.16,65,64,0
PENZANCE,30.2,63,62,0
PLYMOUTH,30.14,61,59,0
JERSEY,30.14,61,59,0
WEYMOUTH,30.13,65,61,0
PORTSMOUTH,30.1,61,56,0
DOVER,30.07,61,60,0
LONDON,30.13,57,54,0
YARMOUTH,30.11,59,54,0
SCARBOROUGH,30.11,58,56,0
SHIELDS,30.1,58,56,0
HELIGOLAND,30.01,58,54,0
HELDER,30.06,58,999,0
COPENHAGEN,29.96,60,999,0
BREST,30.18,58,999,0
BAYONNE,999,66,999,0
LISBON,30.08,76,999,0
