1862,10,29,Wednesday,DWR_1862_10-24.jpg
NAIRN,29.82,36,1,0
ABERDEEN,29.84,38,2,0
LEITH,29.88,42,3,0
BERWICK,29.87,42,2,0
ARDROSSAN,29.88,42,999,0.23
PORTRUSH,999,47,4,0
GALWAY,29.99,40,2,0.15
VALENTIA,30.05,43,4,0
QUEENSTOWN,30.03,42,1,0
HOLYHEAD,29.92,49,3,0
LIVERPOOL,29.91,44,2,0.02
PEMBROKE,29.94,44,1,0
PENZANCE,30.02,45,4,0
PLYMOUTH,29.98,46,4,0.19
JERSEY,29.93,50,3,0.76
WEYMOUTH,29.96,47,2,0.15
PORTSMOUTH,29.93,48,3,0.15
LONDON,29.93,47,2,0.9
DOVER,29.89,49,2,0.07
YARMOUTH,29.92,45,1,0
SCARBOROUGH,29.87,42,2,0
SHIELDS,29.86,38,2,0
HELIGOLAND,29.86,47,1,0.23
HELDER,29.88,48,999,0
COPENHAGEN,29.86,46,999,0
BREST,29.9,46,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,51,999,0
LISBON,29.8,56,999,0
