1862,8,27,Wednesday,DWR_1862_08-22.jpg
NAIRN,29.99,51,50,0
ABERDEEN,30.12,56,54,0
LEITH,30.01,60,55,0
BERWICK,30.06,58,55,0
ARDROSSAN,30.02,57,55,0
PORTRUSH,29.94,57,53,0
GALWAY,29.96,60,59,0.83
VALENTIA,29.95,61,60,999
QUEENSTOWN,29.96,60,59,0.32
HOLYHEAD,29.94,63,61,0
LIVERPOOL,30.01,59,56,0
PEMBROKE,29.93,60,59,0
PENZANCE,30.01,61,60,0
PLYMOUTH,29.98,60,58,0
JERSEY,29.96,63,60,0
WEYMOUTH,29.97,61,58,0.06
PORTSMOUTH,29.93,61,58,0
DOVER,29.91,64,62,0
LONDON,29.97,58,56,0
YARMOUTH,29.97,61,56,0
SCARBOROUGH,30.05,57,55,0
SHIELDS,30.05,58,55,0
HELIGOLAND,30.03,57,54,0
HELDER,29.99,59,999,0
COPENHAGEN,29.92,58,999,0
BREST,29.97,59,999,0
BAYONNE,999,999,999,0
LISBON,999,999,999,999
