1862,12,17,Wednesday,DWR_1862_12-16.jpg
NAIRN,30.02,44,2,0
ABERDEEN,30.07,39,2,0.25
LEITH,30.11,43,2,0
BERWICK,30.13,46,2,0.53
ARDROSSAN,30.13,45,2,0.62
PORTRUSH,999,42,0,0
GALWAY,30.29,41,1,0.55
VALENTIA,30.37,42,1,0.45
QUEENSTOWN,30.34,40,1,0.25
HOLYHEAD,30.25,45,2,0.5
LIVERPOOL,30.25,43,0,0.29
PEMBROKE,30.27,47,0,0.28
PENZANCE,30.35,53,1,0
PLYMOUTH,30.39,53,1,0
JERSEY,30.48,49,2,0
WEYMOUTH,30.34,52,1,0
PORTSMOUTH,30.35,50,2,0
DOVER,30.36,50,2,0
LONDON,30.3,50,2,0.03
YARMOUTH,30.26,38,1,0
SCARBOROUGH,30.13,44,1,0
SHIELDS,30.15,42,2,0
HELIGOLAND,30.26,40,2,0
HELDER,30.29,43,0,0
COPENHAGEN,30.13,34,0,0
BREST,30.5,52,2,0
LORIENT,999,999,999,999
ROCHEFORT,30.59,34,2,0
BAYONNE,999,35,999,0
LISBON,999,999,999,999
