1862,8,7,Thursday,DWR_1862_08-5.jpg
NAIRN,29.38,55,53,0.16
ABERDEEN,29.41,55,54,0
LEITH,29.38,57,55,0
BERWICK,29.42,56,54,0
ARDROSSAN,29.3,57,55,0.29
PORTRUSH,29.36,53,50,0
GALWAY,29.38,58,56,0.35
VALENTIA,29.5,57,55,0.2
QUEENSTOWN,29.43,56,54,0.32
HOLYHEAD,29.3,57,55,0.25
LIVERPOOL,29.34,56,54,0.58
PEMBROKE,29.41,57,56,1.18
PENZANCE,29.45,59,58,0.52
PLYMOUTH,29.38,61,58,0.36
JERSEY,29.55,63,60,0.19
WEYMOUTH,29.33,62,59,0.13
PORTSMOUTH,29.41,60,59,0.33
DOVER,29.56,60,59,0
LONDON,29.42,60,58,0.09
YARMOUTH,29.55,60,57,0
SCARBOROUGH,29.46,57,55,0.34
SHIELDS,29.38,55,53,0
HELIGOLAND,29.82,59,57,0
HELDER,29.71,60,999,0
COPENHAGEN,29.9,59,999,0
BREST,29.58,59,999,0
BAYONNE,999,68,999,0
LISBON,30.14,69,999,0
