1863,1,8,Thursday,DWR_1863_01-6.jpg
NAIRN,29.61,30,999,0.7
ABERDEEN,29.66,35,1,0
LEITH,29.61,41,2,0
ARDROSSAN,29.55,38,2,0.6
PORTRUSH,29.44,42,0,0
GALWAY,29.45,34,999,0
VALENTIA,29.58,45,2,0.16
QUEENSTOWN,29.45,43,2,0
HOLYHEAD,29.34,41,1,1
LIVERPOOL,29.46,39,1,0
PEMBROKE,29.41,45,3,0.12
PENZANCE,29.58,44,1,0.25
BREST,29.61,43,2,1.14
JERSEY,29.57,44,3,0.4
LORIENT,29.53,39,999,0.08
ROCHEFORT,29.52,41,2,0.39
PLYMOUTH,29.5,38,1,0
WEYMOUTH,29.51,40,1,0.2
PORTSMOUTH,29.5,40,1,0.36
KEW,29.52,38,1,0
LONDON,29.51,38,1,0.02
YARMOUTH,29.59,40,1,0
SCARBOROUGH,29.55,40,1,0
SHIELDS,29.57,42,3,0
HELIGOLAND,29.61,38,0,0
COPENHAGEN,29.62,37,999,0
HELDER,29.63,41,999,0
BAYONNE,999,46,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
