1863,7,7,Tuesday,DWR_1863_07-5.jpg
NAIRN,29.93,66,5,0
ABERDEEN,30,60,4,0
LEITH,29.98,67,5,0
SHIELDS,30.06,61,5,0
SCARBOROUGH,30.06,61,2,0
GREENCASTLE,29.96,63,3,0
GALWAY,29.95,65,1,0.9
VALENTIA,999,999,999,999
QUEENSTOWN,30.01,63,2,0
LIVERPOOL,30.06,63,3,0
HOLYHEAD,30.02,60,2,0
PEMBROKE,30.09,62,2,0
PENZANCE,30.13,61,0,0
BREST,30.2,64,3,0
LORIENT,30.16,61,1,0
ROCHEFORT,30.12,66,5,0
PLYMOUTH,30.14,66,4,0
WEYMOUTH,30.12,62,4,0
PORTSMOUTH,30.06,63,4,0
LONDON,30.07,70,8,0
DOVER,30.12,73,6,0
YARMOUTH,30.11,65,3,0
HELDER,30.18,68,999,0
HELIGOLAND,30.28,60,3,0
