1866,4,28,Saturday,DWR_1866_04-47.jpg
SKUDDESNAES,29.4,41,0,
NAIRN,29.63,41,0.13,
ABERDEEN,29.54,43,0,
LEITH,29.56,47,0.03,
ARDROSSAN,29.56,50,0,
GREENCASTLE,29.67,48,0.01,
SHIELDS,29.56,47,0.6,
SCARBOROUGH,29.47,49,0.37,
HELIGOLAND,999,999,999,
LIVERPOOL,29.51,55,0.03,
HOLYHEAD,29.51,53,0,
HELDER,29.45,57,0,
YARMOUTH,29.45,55,0,
VALENTIA,29.54,55,0.07,
LONDON,29.5,59,0.01,
CAPECLEAR,29.5,53,0,
PORTSMOUTH,29.53,58,0,
WEYMOUTH,29.51,55,0,
PLYMOUTH,29.51,59,0.11,
PENZANCE,29.56,55,0.04,
BREST,29.61,59,0,
LORIENT,29.57,59,0.16,
ROCHEFORT,29.65,61,0,
CORUNNA,999,999,999,
