1863,8,5,Wednesday,DWR_1863_08-4.jpg
NAIRN,29.73,59,4,0
ABERDEEN,29.65,59,3,0.7
LEITH,29.7,63,6,0
SHIELDS,29.8,59,5,0
SCARBOROUGH,29.8,57,2,0.52
GREENCASTLE,29.68,59,2,0.11
GALWAY,29.72,59,0,0.45
VALENTIA,29.74,61,999,2.43
QUEENSTOWN,29.82,63,2,0.15
LIVERPOOL,29.83,60,4,0
HOLYHEAD,29.78,60,1,0.1
PEMBROKE,29.87,60,1,0.1
PENZANCE,29.93,60,1,0.4
BREST,29.92,61,2,1.3
LORIENT,29.88,64,1,0.12
ROCHEFORT,30.12,68,0,0
PLYMOUTH,29.92,61,1,0.47
WEYMOUTH,29.89,61,3,0.08
PORTSMOUTH,29.87,63,4,0.12
LONDON,29.89,62,3,0.07
DOVER,29.89,999,999,0.15
YARMOUTH,29.85,63,5,0.4
HELIGOLAND,29.78,61,1,0
