1863,3,13,Friday,DWR_1863_03-11.jpg
NAIRN,29.44,33,1,0.2
ABERDEEN,29.43,38,1,0.33
LEITH,29.36,41,2,0
ARDROSSAN,29.32,39,1,0
PORTRUSH,29.28,39,1,0
GALWAY,29.15,41,1,0.25
VALENTIA,29.22,47,3,0.2
QUEENSTOWN,29.19,43,1,0
HOLYHEAD,29.18,43,3,0.1
LIVERPOOL,29.26,39,1,0.02
PEMBROKE,29.21,41,2,0.2
PENZANCE,29.33,42,1,0.2
BREST,29.37,43,1,0.79
LORIENT,29.37,41,3,0.16
ROCHEFORT,29.37,45,2,0.51
PLYMOUTH,29.31,41,2,0
WEYMOUTH,29.32,41,2,0.17
PORTSMOUTH,29.28,41,2,0.37
KEW,29.31,41,1,0
LONDON,29.27,37,1,0.03
YARMOUTH,29.26,39,2,1.1
SCARBOROUGH,29.19,41,1,0.65
SHIELDS,29.33,41,2,0
HELIGOLAND,29.44,35,1,0
COPENHAGEN,29.68,32,999,0
HELDER,29.29,41,999,0
BAYONNE,999,45,999,0
LISBON,999,999,999,999
