1862,3,20,Thursday,DWR_1862_03-15.jpg
NAIRN,29.82,32,30,0
ABERDEEN,29.78,33,31,0
LEITH,29.78,36,33,0
BERWICK,29.76,42,40,0
ARDROSSAN,29.76,36,34,0
PORTRUSH,29.75,41,39,0.26
GALWAY,29.63,37,35,0
SHIELDS,29.71,38,35,0
SCARBOROUGH,29.68,39,36,0
HELIGOLAND,29.65,37,36,0
LIVERPOOL,29.62,38,34,0
QUEENSTOWN,29.51,42,40,0
VALENTIA,29.53,46,45,0
YARMOUTH,29.57,40,37,0
LONDON,29.49,42,39,0.01
DOVER,29.45,42,41,0
PORTSMOUTH,29.38,44,42,0
PORTLAND,29.34,43,41,0.09
PLYMOUTH,29.25,42,41,0
PENZANCE,29.28,43,42,0
JERSEY,29.19,46,45,0.52
COPENHAGEN,29.58,33,999,0
HELDER,29.61,39,999,0
BREST,29.06,48,999,0
BAYONNE,999,59,999,0
LISBON,29.58,58,999,0
