1863,12,29,Tuesday,DWR_1863_12-24.jpg
NAIRN,29.75,34,1,0
ABERDEEN,29.78,35,1,0
LEITH,29.74,41,1,0.07
ARDROSSAN,29.76,47,3,1.09
GREENCASTLE,29.83,47,1,0.49
GALWAY,29.97,48,1,0.35
VALENTIA,30.05,51,1,0.19
CAPE CLEAR,30.04,47,1,0
QUEENSTOWN,29.91,50,1,0
LIVERPOOL,29.82,49,1,999
HOLYHEAD,29.79,50,0,0.2
PEMBROKE,29.93,51,1,0.22
PENZANCE,30.1,51,0,0.15
BREST,30.24,50,0,0.04
LORIENT,30.2,50,0,0.08
ROCHEFORT,30.32,48,2,0
PLYMOUTH,30.1,51,1,0
WEYMOUTH,30.06,50,1,0.13
PORTSMOUTH,30.07,49,1,0
LONDON,30,49,1,0
DOVER,30.04,48,0,0
YARMOUTH,29.89,46,1,0
SCARBOROUGH,29.78,45,1,0
SHIELDS,29.77,48,2,0
HELIGOLAND,29.93,34,0,0.12
