1863,11,2,Monday,DWR_1863_11-2.jpg
NAIRN,29.23,27,0,0.1
ABERDEEN,29.18,38,1,0
LEITH,29.12,42,2,0
SHIELDS,28.94,49,3,0
SCARBOROUGH,28.87,46,1,0.7
GREENCASTLE,29.19,999,4,999
GALWAY,29.25,42,1,0.8
VALENTIA,999,999,999,999
QUEENSTOWN,29.12,43,1,0.24
LIVERPOOL,28.85,43,1,1.02
HOLYHEAD,28.83,45,0,0.5
PEMBROKE,28.89,47,3,0.68
PENZANCE,29.05,45,1,0.8
BREST,29.21,45,2,2.05
LORIENT,29.21,46,2,0.87
ROCHEFORT,29.49,50,0,0.43
PLYMOUTH,29,45,2,0.5
WEYMOUTH,28.96,45,2,0.42
PORTSMOUTH,28.94,47,2,0.47
LONDON,28.92,42,1,0.52
DOVER,29.01,48,1,1
YARMOUTH,28.92,50,1,0
HELIGOLAND,999,999,999,999
