1863,12,7,Monday,DWR_1863_12-5.jpg
NAIRN,29.6,46,1,0.52
ABERDEEN,29.47,46,1,0.15
LEITH,29.79,51,2,0.4
SHIELDS,29.92,51,3,0
SCARBOROUGH,30.07,49,2,0
GREENCASTLE,29.92,51,999,0.37
GALWAY,30.15,51,1,0.35
VALENTIA,30.3,51,1,0.18
CAPE CLEAR,999,48,1,0
QUEENSTOWN,30.22,50,1,0
LIVERPOOL,30.19,52,5,0.01
HOLYHEAD,30.21,51,0,0.22
PEMBROKE,30.33,51,1,0.1
PENZANCE,30.51,51,2,0
BREST,30.59,45,0,0
LORIENT,30.55,37,0,0
ROCHEFORT,30.59,34,1,0
PLYMOUTH,30.48,51,2,0
WEYMOUTH,30.46,51,3,0.08
PORTSMOUTH,30.44,50,2,0.23
LONDON,30.38,46,2,0.06
DOVER,30.44,50,1,0
YARMOUTH,30.28,45,1,0
HELIGOLAND,999,999,999,999
