1863,11,23,Monday,DWR_1863_11-21.jpg
NAIRN,29.59,45,999,0.52
ABERDEEN,29.7,47,1,0.4
LEITH,29.64,49,2,0
SHIELDS,29.7,48,2,0.43
SCARBOROUGH,29.7,46,1,0
GREENCASTLE,29.63,46,1,0.66
GALWAY,29.63,49,1,0.62
VALENTIA,29.66,50,0,0.52
QUEENSTOWN,29.61,49,1,0
LIVERPOOL,29.75,48,2,0.23
HOLYHEAD,29.7,51,0,0.5
PEMBROKE,29.77,51,0,0.75
PENZANCE,29.86,51,0,0.45
BREST,29.92,50,0,0.51
LORIENT,29.92,46,0,0.28
ROCHEFORT,30,54,0,0.04
PLYMOUTH,29.8,52,2,0.25
WEYMOUTH,29.88,52,3,0.26
PORTSMOUTH,29.88,49,3,0.25
LONDON,29.88,45,2,0.16
DOVER,29.92,50,2,0.06
YARMOUTH,29.82,47,1,0
HELIGOLAND,29.72,49,0,0.08
