1863,10,31,Saturday,DWR_1863_10-28.jpg
NAIRN,28.64,39,2,0.17
ABERDEEN,28.71,41,3,0
LEITH,28.78,42,2,0
SHIELDS,28.91,48,4,0
SCARBOROUGH,29.03,44,4,0.52
GREENCASTLE,28.95,44,1,999
GALWAY,29.23,44,2,0.6
VALENTIA,999,999,999,999
QUEENSTOWN,29.31,46,1,0
LIVERPOOL,29.15,47,6,0.68
HOLYHEAD,29.14,47,2,0.12
PEMBROKE,29.44,46,2,0.45
PENZANCE,29.67,46,1,0.52
BREST,29.84,48,5,0.12
LORIENT,29.8,50,4,0.35
ROCHEFORT,29.96,54,1,999
PLYMOUTH,29.64,49,5,0.8
WEYMOUTH,29.58,50,6,0.32
PORTSMOUTH,29.58,49,4,0.43
LONDON,29.51,44,4,0.33
DOVER,29.59,50,1,999
YARMOUTH,29.38,43,1,1.8
HELIGOLAND,29.29,46,0,0.15
