1862,8,14,Thursday,DWR_1862_08-11.jpg
NAIRN,29.65,57,56,0.29
ABERDEEN,29.66,56,55,0.28
LEITH,29.62,59,58,0
BERWICK,29.66,59,56,0.35
ARDROSSAN,29.6,58,56,0.68
PORTRUSH,29.69,55,53,0
GALWAY,29.74,50,48,0.25
VALENTIA,29.81,57,56,999
QUEENSTOWN,29.75,60,58,0.41
HOLYHEAD,29.69,58,56,0.3
LIVERPOOL,29.71,60,58,0.12
PEMBROKE,29.77,59,58,0.23
PENZANCE,29.85,61,60,0.17
PLYMOUTH,29.81,62,58,0.23
JERSEY,29.88,60,59,0.15
WEYMOUTH,29.79,62,60,0.2
PORTSMOUTH,29.78,60,59,0.51
DOVER,29.79,64,61,0
LONDON,29.8,60,59,999
YARMOUTH,29.77,61,60,0.25
SCARBOROUGH,29.69,61,59,0
SHIELDS,29.66,59,57,0
HELIGOLAND,29.92,61,59,0.15
HELDER,29.83,60,999,0
COPENHAGEN,29.89,64,999,0
BREST,29.87,59,999,0
BAYONNE,999,55,999,0
LISBON,999,999,999,0
