1862,1,28,Tuesday,DWR_1862_01-27.jpg
NAIRN,29.43,44,40,999
ABERDEEN,29.57,41,40,999
LEITH,29.51,45,42,999
BERWICK,29.56,37,35,999
ARDROSSAN,29.46,45,44,0.13
PORTRUSH,29.36,43,42,999
SHIELDS,29.69,38,37,999
GALWAY,29.44,46,45,999
SCARBOROUGH,29.78,37,36,999
LIVERPOOL,29.66,41,40,999
VALENTIA,29.49,47,46,0.51
QUEENSTOWN,29.54,48,47,999
YARMOUTH,29.93,40,39,999
LONDON,29.9,40,38,999
DOVER,29.93,41,40,999
PORTSMOUTH,29.86,43,42,0.13
PORTLAND,29.79,47,46,0.07
PLYMOUTH,29.71,49,48,999
PENZANCE,29.74,49,47,999
COPENHAGEN,999,999,999,999
HELDER,30.08,31,999,999
BREST,29.85,51,999,999
BAYONNE,30.09,54,999,999
LISBON,999,999,999,999
