1862,5,27,Tuesday,DWR_1862_05-24.jpg
NAIRN,29.65,55,52,0.21
ABERDEEN,29.74,55,52,0.42
LEITH,29.77,53,51,0
BERWICK,29.71,53,51,0
ARDROSSAN,29.65,53,51,0.22
PORTRUSH,29.71,53,52,0
GALWAY,29.86,60,58,0
SHIELDS,29.72,55,53,0
SCARBOROUGH,29.76,55,54,0.25
HELIGOLAND,29.86,54,53,0.15
LIVERPOOL,29.8,56,55,0.24
QUEENSTOWN,29.88,61,60,0
VALENTIA,29.92,56,55,999
YARMOUTH,29.87,57,55,0
LONDON,29.96,56,55,0.06
DOVER,29.97,56,54,0
PORTSMOUTH,30,56,54,0
PORTLAND,30,56,55,0.06
PLYMOUTH,30,56,55,0
PENZANCE,30.06,57,56,0
JERSEY,30.14,57,54,0
COPENHAGEN,29.8,55,999,0
HELDER,29.83,56,999,0
BREST,30.17,57,999,0
BAYONNE,999,63,999,0
LISBON,30.07,72,999,0
