1863,9,29,Tuesday,DWR_1863_09-24.jpg
NAIRN,29.55,46,2,0
ABERDEEN,29.63,48,2,0
LEITH,29.7,50,3,0.1
SHIELDS,29.78,50,3,0
SCARBOROUGH,29.9,47,2,0
GREENCASTLE,29.7,50,2,0.16
GALWAY,29.82,52,2,0.35
VALENTIA,29.9,51,1,0.27
QUEENSTOWN,29.8,52,1,0
LIVERPOOL,29.93,49,2,0.04
HOLYHEAD,29.87,52,2,0
PEMBROKE,29.98,52,2,0.09
PENZANCE,30.05,51,1,0
BREST,30.04,46,2,0.08
LORIENT,30.08,41,2,0.12
ROCHEFORT,999,999,999,999
PLYMOUTH,30.06,51,2,0
WEYMOUTH,30.05,52,3,0.16
PORTSMOUTH,30.04,49,2,0.35
LONDON,30.05,47,3,999
DOVER,30.1,55,2,0.07
YARMOUTH,30.03,47,2,0
HELIGOLAND,30,54,2,0
