1863,8,15,Saturday,DWR_1863_08-13.jpg
NAIRN,29.47,61,3,0.24
ABERDEEN,29.58,57,1,0.13
LEITH,29.52,63,2,0
SHIELDS,29.7,61,2,0.37
SCARBOROUGH,29.74,60,1,0
GREENCASTLE,29.36,64,4,0.23
GALWAY,29.37,61,0,0.4
VALENTIA,29.47,61,1,0.81
QUEENSTOWN,29.54,65,2,0.56
LIVERPOOL,29.67,64,4,0
HOLYHEAD,29.55,62,1,0.42
PEMBROKE,29.7,999,1,0.8
PENZANCE,29.79,65,2,0.45
BREST,29.92,68,3,0
LORIENT,29.88,70,3,0
ROCHEFORT,30,70,4,0
PLYMOUTH,29.8,68,4,0
WEYMOUTH,29.91,65,3,0
PORTSMOUTH,29.83,68,4,0
LONDON,29.84,67,5,0
DOVER,29.88,999,999,0
YARMOUTH,29.85,65,2,0
HELIGOLAND,30.08,59,3,0
