1862,6,20,Friday,DWR_1862_06-22.jpg
NAIRN,29.72,53,49,0
ABERDEEN,29.73,53,48,0
LEITH,29.77,55,50,0
ARDROSSAN,29.82,53,51,0.29
PORTRUSH,29.91,53,52,0
GALWAY,30.1,57,54,0
VALENTIA,30.21,55,999,0.1
QUEENSTOWN,30.15,57,55,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,29.97,55,51,0.07
PENZANCE,30.16,57,56,0
PLYMOUTH,30.06,57,52,0
JERSEY,30.07,55,53,0
PORTLAND,30.02,58,54,0.07
PORTSMOUTH,29.96,56,52,0.09
DOVER,29.91,57,53,0
LONDON,29.94,55,51,0.03
YARMOUTH,29.83,54,52,0
SCARBOROUGH,29.83,57,53,0
SHIELDS,29.82,53,49,0
BERWICK,29.78,55,50,0.23
HELIGOLAND,29.7,53,51,0
HELDER,29.76,56,999,0
COPENHAGEN,29.5,55,999,0
BREST,30.12,55,999,0
BAYONNE,999,61,999,0
LISBON,30.09,71,999,0
