1863,11,26,Thursday,DWR_1863_11-24.jpg
NAIRN,29.91,49,4,0
ABERDEEN,30.1,49,2,0
LEITH,30.07,55,2,0
SHIELDS,30.24,57,5,0
SCARBOROUGH,30.27,51,1,0
GREENCASTLE,29.91,54,1,0.12
GALWAY,29.88,53,1,0.1
VALENTIA,29.86,54,0,0.15
QUEENSTOWN,29.86,54,1,0
LIVERPOOL,30.22,54,4,0
HOLYHEAD,30.1,55,1,0.2
PEMBROKE,30.16,55,1,0.3
PENZANCE,30.18,53,1,0.2
BREST,30.2,50,1,0.2
LORIENT,30.2,48,0,0.2
ROCHEFORT,30.24,45,0,0.2
PLYMOUTH,30.22,55,1,0.2
WEYMOUTH,30.29,53,0,0.2
PORTSMOUTH,30.31,51,1,0.2
LONDON,30.36,51,2,0.2
DOVER,30.43,53,1,0.2
YARMOUTH,30.4,50,1,0.2
HELIGOLAND,30.45,47,0,0.04
