1863,8,27,Thursday,DWR_1863_08-23.jpg
NAIRN,29.52,53,2,0
ABERDEEN,29.45,55,4,0
LEITH,29.4,54,2,0.62
SHIELDS,29.36,56,2,0.33
SCARBOROUGH,29.32,56,1,0.6
GREENCASTLE,29.4,53,2,0.22
GALWAY,29.3,51,0,0.45
VALENTIA,29.26,54,2,0.31
QUEENSTOWN,999,57,2,0.47
LIVERPOOL,29.32,57,2,0.12
HOLYHEAD,29.25,58,2,0.3
PEMBROKE,29.25,56,0,1
PENZANCE,29.25,59,2,0.8
BREST,29.33,61,3,1.57
LORIENT,29.33,61,2,0.83
ROCHEFORT,29.57,61,1,999
PLYMOUTH,29.24,60,3,0.72
WEYMOUTH,29.3,62,3,0.89
PORTSMOUTH,29.34,62,3,0.58
LONDON,29.39,57,2,0.52
DOVER,29.46,63,2,0.7
YARMOUTH,29.42,62,1,0.55
HELIGOLAND,29.61,62,1,0
