1862,2,17,Monday,DWR_1862_02-16.jpg
NAIRN,29.58,31,999,0
ABERDEEN,29.67,38,37,0
LEITH,29.62,40,37,0
BERWICK,29.66,39,36,0
ARDROSSAN,29.55,37,34,0
PORTRUSH,29.47,38,36,0
GALWAY,29.29,43,42,0
SHIELDS,29.65,39,38,0
SCARBOROUGH,29.66,39,37,0
HELIGOLAND,29.92,33,32,0
LIVERPOOL,29.55,37,35,0
QUEENSTOWN,29.35,50,49,0
VALENTIA,29.2,48,47,0.09
YARMOUTH,29.63,40,39,0
LONDON,29.55,39,38,0.13
DOVER,29.55,43,42,0
PORTSMOUTH,29.5,41,40,0.23
PORTLAND,29.46,45,44,0.09
PLYMOUTH,29.4,47,45,0
PENZANCE,29.42,50,49,0.25
COPENHAGEN,29.8,32,999,0
HELDER,29.77,33,999,0
BREST,29.45,48,999,0
BAYONNE,29.64,55,999,0
LISBON,29.56,51,999,0
