1863,10,26,Monday,DWR_1863_10-21.jpg
NAIRN,30.12,40,1,999
ABERDEEN,30.09,45,2,0.15
LEITH,30.07,48,1,0
SHIELDS,30.1,46,4,0
SCARBOROUGH,30.08,46,2,0
GREENCASTLE,30.11,46,3,0.18
GALWAY,30.11,46,0,0.15
VALENTIA,30.05,53,1,0.58
QUEENSTOWN,29.96,56,1,0
LIVERPOOL,30.11,46,1,0
HOLYHEAD,30.05,51,1,0
PEMBROKE,30.08,50,1,0
PENZANCE,30.09,50,1,0
BREST,30.04,48,1,0
LORIENT,29.96,48,1,0
ROCHEFORT,30,48,2,0
PLYMOUTH,30.08,48,3,0
WEYMOUTH,30.07,45,2,0
PORTSMOUTH,30.03,48,3,0
LONDON,30.06,42,2,0
DOVER,30.06,51,1,0
YARMOUTH,30.06,44,1,0
HELIGOLAND,30.19,44,1,0
