1863,6,12,Friday,DWR_1863_06-10.jpg
NAIRN,29.59,56,5,0
ABERDEEN,29.62,55,3,0.25
LEITH,29.63,56,4,0.81
ARDROSSAN,29.63,54,2,1.59
GREENCASTLE,29.65,53,3,0.8
GALWAY,29.69,56,3,0
VALENTIA,29.75,56,6,0.12
QUEENSTOWN,29.66,54,1,0.15
SHIELDS,29.64,54,2,0.5
SCARBOROUGH,29.57,56,2,0
LIVERPOOL,29.52,55,2,0.1
HOLYHEAD,29.51,51,1,0.22
PEMBROKE,29.46,54,1,0.54
PENZANCE,29.5,51,0,1.1
BREST,29.53,52,3,1.81
LORIENT,29.53,48,1,1.1
ROCHEFORT,29.8,57,4,0.12
BAYONNE,29.88,64,999,0
PLYMOUTH,29.47,54,1,0.5
WEYMOUTH,29.44,54,3,0.95
PORTSMOUTH,29.45,55,3,0.58
LONDON,29.48,55,4,0.2
DOVER,29.51,59,3,0.29
YARMOUTH,29.55,56,2,0
HELDER,29.65,61,999,0
HELIGOLAND,29.74,54,1,0
COPENHAGEN,29.62,60,999,0
LISBON,999,999,999,999
