1863,4,28,Tuesday,DWR_1863_04-23.jpg
NAIRN,29.42,41,1,0.32
ABERDEEN,29.37,44,3,0
LEITH,29.51,47,5,0
ARDROSSAN,29.61,45,3,0.24
PORTRUSH,29.78,45,2,0
GALWAY,30.05,47,1,0
VALENTIA,30.16,49,2,0.1
QUEENSTOWN,30.07,51,1,0
HOLYHEAD,29.87,45,2,0
LIVERPOOL,29.83,47,5,0.05
PEMBROKE,30.01,48,3,0
PENZANCE,30.13,52,2,0
BREST,30.2,50,3,0
LORIENT,30.16,50,4,0
ROCHEFORT,30.16,55,4,0
PLYMOUTH,30.07,49,3,0
WEYMOUTH,29.99,50,4,0
PORTSMOUTH,29.95,52,5,0
KEW,29.91,48,4,0
LONDON,29.9,49,5,0
DOVER,29.94,53,2,0
YARMOUTH,29.79,49,4,0
SCARBOROUGH,29.65,46,6,0
SHIELDS,29.61,46,5,0
HELIGOLAND,29.64,45,2,0
COPENHAGEN,29.21,44,999,0
HELDER,29.73,48,999,0
LISBON,999,999,999,999
