1862,7,5,Saturday,DWR_1862_07-4.jpg
NAIRN,29.78,55,51,0
ABERDEEN,29.77,55,51,0
LEITH,29.74,57,53,0
BERWICK,29.78,55,51,0
ARDROSSAN,29.68,54,51,0
PORTRUSH,?29.76,52,50,0
GALWAY,29.61,51,50,0
VALENTIA,29.38,53,52,0.39
QUEENSTOWN,29.44,55,54,0.5
MILFORD,999,999,999,999
HOLYHEAD,29.61,55,51,0
LIVERPOOL,29.7,56,51,0
PENZANCE,29.5,58,57,0.82
PLYMOUTH,29.52,57,56,0.27
JERSEY,29.66,66,62,0
PORTLAND,29.63,58,56,0.09
PORTSMOUTH,29.65,58,56,0
DOVER,29.75,60,58,0
LONDON,29.72,58,55,0.02
YARMOUTH,29.76,60,57,0
SCARBOROUGH,29.78,56,53,0.24
SHIELDS,29.77,53,50,0
HELIGOLAND,29.83,56,54,0
HELDER,29.83,60,999,0
COPENHAGEN,999,999,999,999
BREST,29.59,59,999,0
BAYONNE,999,999,999,0
LISBON,30,64,999,0
