1863,9,7,Monday,DWR_1863_09-5.jpg
NAIRN,29.19,48,1,0.47
ABERDEEN,29.1,52,1,0.5
LEITH,29.18,53,3,0.61
SHIELDS,29.22,55,3,0.62
SCARBOROUGH,29.28,59,1,0.65
GREENCASTLE,29.48,51,3,0.5
GALWAY,29.68,54,0,0.9
VALENTIA,29.87,57,6,0.2
QUEENSTOWN,999,56,2,0.68
LIVERPOOL,29.5,56,5,0.86
HOLYHEAD,29.55,55,3,1.35
PEMBROKE,29.72,55,4,0.71
PENZANCE,29.84,56,2,0.6
BREST,29.88,59,4,0.83
LORIENT,29.84,59,2,0.12
ROCHEFORT,30.04,63,2,0.16
PLYMOUTH,29.71,59,4,0.8
WEYMOUTH,29.67,59,4,0.34
PORTSMOUTH,?29.85,59,1,0.46
LONDON,29.52,59,2,0.69
DOVER,29.57,62,2,1.03
YARMOUTH,29.43,60,2,0.65
HELIGOLAND,29.64,54,0,0.35
