1869,10,28,Thursday,DWR_1869_10-54.jpg
HEARTSCONTENT,999,999,999,
SKUDDESNAES,999,999, NaN,
NAIRN,30,34,0.02,
ABERDEEN,29.88,35,0.25,
LEITH,29.95,37,0,
ARDROSSAN,30.01,36,0,
GREENCASTLE,30.08,42,0.17,
SHIELDS,29.81,34,999,
SCARBOROUGH,29.68,34,1.08,
LIVERPOOL,29.9,999,0,
HOLYHEAD,29.97,41,0.25,
HELDER,999,999, NaN,
YARMOUTH,29.65,33,0.64,
VALENTIA,30.21,50,0.14,
ROCHESPOINT,30.13,44,0,
PEMBROKE,29.98,39,0.04,
LONDON,29.83,32,0,
CAPECLEAR,30.15,47,0.05,
CAPGRISNEZ,29.75,34,0.01,
BRUSSELS,999,999, NaN,
PORTSMOUTH,29.88,35,0.02,
PLYMOUTH,29.95,42,0.07,
PENZANCE,30,44,0.01,
PARIS,999,999,999,
STRASBOURG,999,999, NaN,
BREST,29.94,45,0.02,
LORIENT,29.95,46,0.02,
ROCHEFORT,30.05,43,0.04,
LYONS,999,999, NaN,
BIARRITZ,30.15,43,0.12,
CORUNNA,999,999, NaN,
TOULON,29.83,32,0,
