1863,7,18,Saturday,DWR_1863_07-15.jpg
NAIRN,29.83,51,4,0.13
ABERDEEN,29.67,50,4,0.07
LEITH,29.78,53,5,0
SHIELDS,29.74,53,5,0
SCARBOROUGH,29.67,55,5,0
GREENCASTLE,29.91,53,5,0.11
GALWAY,30,57,5,0
VALENTIA,30.07,60,6,0
QUEENSTOWN,29.99,58,2,0
LIVERPOOL,29.79,53,2,0.09
HOLYHEAD,29.83,54,4,0
PEMBROKE,29.93,55,6,0
PENZANCE,29.96,61,4,0
BREST,29.96,63,5,0
LORIENT,29.92,59,2,0
ROCHEFORT,30,63,4,0
PLYMOUTH,29.93,59,6,0
WEYMOUTH,29.86,58,5,0
PORTSMOUTH,29.8,58,3,0
LONDON,29.78,55,6,0
DOVER,29.78,61,5,0
YARMOUTH,29.68,53,6,0
HELDER,29.57,52,999,0
HELIGOLAND,29.49,48,1,0.39
