1863,11,20,Friday,DWR_1863_11-19.jpg
NAIRN,29.77,49,4,0
ABERDEEN,29.91,46,2,0
LEITH,29.93,47,4,0
SHIELDS,30.05,41,2,0
SCARBOROUGH,30.07,42,1,0
GREENCASTLE,29.77,52,1,0.07
GALWAY,29.86,54,2,0.15
VALENTIA,29.75,54,1,0.2
QUEENSTOWN,29.77,55,1,0.06
LIVERPOOL,30.06,44,2,0
HOLYHEAD,29.97,52,2,0
PEMBROKE,30.06,51,1,0
PENZANCE,30.1,53,1,0
BREST,30.12,50,1,0
LORIENT,30.12,45,0,0
ROCHEFORT,30.24,41,0,0
PLYMOUTH,30.14,51,1,0
WEYMOUTH,30.17,49,1,0
PORTSMOUTH,30.19,49,2,0
LONDON,30.19,47,3,0
DOVER,30.22,52,1,0
YARMOUTH,30.19,45,2,0
HELIGOLAND,30.25,45,0,0
