1863,10,27,Tuesday,DWR_1863_10-22.jpg
NAIRN,29.87,44,1,0
ABERDEEN,29.87,47,2,0.15
LEITH,29.91,50,2,999
SHIELDS,29.94,50,3,0
SCARBOROUGH,29.98,46,2,0
GREENCASTLE,29.94,47,1,0
GALWAY,29.97,49,1,0.17
VALENTIA,29.87,49,1,0.14
QUEENSTOWN,29.84,51,1,0.09
LIVERPOOL,29.99,46,2,0
HOLYHEAD,29.94,51,0,999
PEMBROKE,29.99,51,1,0
PENZANCE,30.02,50,1,0
BREST,30,45,0,0
LORIENT,29.92,43,1,0
ROCHEFORT,29.96,46,0,0
PLYMOUTH,30.03,45,2,0
WEYMOUTH,30,54,1,0
PORTSMOUTH,29.99,48,3,0
LONDON,30,42,1,0
DOVER,30,51,1,0
YARMOUTH,30,47,1,0
HELIGOLAND,30.06,44,1,0
