1862,3,14,Friday,DWR_1862_03-10.jpg
NAIRN,30.4,39,38,0
ABERDEEN,30.39,42,39,0
LEITH,30.37,41,39,0
BERWICK,30.36,47,43,0
ARDROSSAN,30.37,42,40,0
PORTRUSH,30.34,45,43,0
GALWAY,30.28,42,41,0
SHIELDS,30.33,43,41,0
SCARBOROUGH,30.28,44,43,0.42
HELIGOLAND,30.24,43,42,0
LIVERPOOL,30.29,45,42,0
QUEENSTOWN,30.22,50,48,0
VALENTIA,30.21,45,44,0
YARMOUTH,30.22,47,46,0
LONDON,30.17,45,43,0.04
DOVER,30.15,45,44,0
PORTSMOUTH,30.09,45,44,0
PORTLAND,30.12,45,44,0.07
PLYMOUTH,30.07,46,45,0.61
PENZANCE,30.1,47,46,0.45
COPENHAGEN,30.27,33,999,0
HELDER,30.19,42,999,0
BREST,30.02,40,999,0
BAYONNE,999,50,999,0
LISBON,29.99,53,999,0
