1862,8,19,Tuesday,DWR_1862_08-15.jpg
NAIRN,29.64,55,999,0
ABERDEEN,29.63,59,57,0
LEITH,29.68,63,58,0
BERWICK,29.73,60,56,0
ARDROSSAN,29.66,58,56,999
PORTRUSH,999,54,51,0
GALWAY,29.75,59,58,0.25
VALENTIA,29.81,59,58,0.47
QUEENSTOWN,29.88,63,62,0
HOLYHEAD,29.86,60,56,0
LIVERPOOL,29.9,59,57,0
PEMBROKE,29.97,60,58,0
PENZANCE,30.03,58,57,0
PLYMOUTH,30.04,58,55,0
JERSEY,30.07,61,59,0
WEYMOUTH,30.02,60,56,0
PORTSMOUTH,30,60,57,0
DOVER,30.02,61,58,0
LONDON,30.01,57,55,0
YARMOUTH,29.96,60,57,0
SCARBOROUGH,29.86,58,55,0
SHIELDS,29.81,60,54,0
HELIGOLAND,29.93,61,60,0
HELDER,999,999,999,999
COPENHAGEN,29.9,62,999,0
BREST,30.06,51,999,0
BAYONNE,999,64,999,0
LISBON,29.91,72,999,0
