1862,10,17,Friday,DWR_1862_10-14.jpg
NAIRN,29.05,43,39,0
ABERDEEN,29.05,47,45,0.46
LEITH,29.15,48,44,0
BERWICK,29.17,51,48,0.2
ARDROSSAN,29.2,48,44,0.53
PORTRUSH,29.31,46,43,0
GALWAY,29.5,44,42,0.55
VALENTIA,29.67,49,45,0.67
QUEENSTOWN,29.61,50,48,0.94
HOLYHEAD,29.44,51,47,999
LIVERPOOL,29.4,53,48,0.07
PEMBROKE,29.57,53,47,0.5
PENZANCE,29.69,57,56,0.52
PLYMOUTH,29.66,55,54,0
JERSEY,29.88,55,54,0.25
WEYMOUTH,29.65,57,55,0.11
PORTSMOUTH,29.69,55,54,0.24
DOVER,29.77,999,999,0.25
LONDON,29.66,53,52,0.06
YARMOUTH,?29.39,53,51,0
SCARBOROUGH,29.31,52,50,0
SHIELDS,29.23,52,49,1
HELIGOLAND,29.94,52,51,0.26
HELDER,29.84,50,999,0
COPENHAGEN,29.94,48,999,0
BREST,29.89,56,999,0
BAYONNE,999,52,999,0
LISBON,999,999,999,999
