1863,12,15,Tuesday,DWR_1863_12-12.jpg
NAIRN,30.04,46,2,0
ABERDEEN,30.09,41,1,0
LEITH,30.14,50,2,0
SHIELDS,30.25,51,3,0
SCARBOROUGH,30.27,45,1,0
GREENCASTLE,30.22,48,1,0
GALWAY,30.29,48,0,999
VALENTIA,30.31,48,1,0.2
CAPE CLEAR,999,50,1,0.04
QUEENSTOWN,30.26,52,1,0
LIVERPOOL,30.33,50,2,0
HOLYHEAD,30.31,50,1,0
PEMBROKE,30.39,50,0,0
PENZANCE,30.43,50,1,0
BREST,30.39,48,1,0
LORIENT,30.36,39,0,0
ROCHEFORT,30.39,39,0,0
PLYMOUTH,30.44,52,1,0
WEYMOUTH,30.42,49,0,0
PORTSMOUTH,30.42,48,1,0
LONDON,30.39,42,1,0
DOVER,30.41,48,3,0
YARMOUTH,30.33,43,1,0
HELIGOLAND,30.18,46,0,0
