1862,6,21,Saturday,DWR_1862_06-23.jpg
NAIRN,29.61,50,47,0
ABERDEEN,29.6,51,47,0
LEITH,29.62,53,51,0
BERWICK,29.66,55,50,0
ARDROSSAN,29.64,53,50,0.08
PORTRUSH,29.76,52,51,0
GALWAY,29.95,58,54,0
VALENTIA,30.06,55,54,0.11
QUEENSTOWN,29.98,59,57,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,29.82,54,51,0.01
PENZANCE,30.02,58,57,0
PLYMOUTH,29.94,57,54,0
JERSEY,30.01,60,55,0
PORTLAND,29.92,59,54,0
PORTSMOUTH,29.92,59,55,0
DOVER,29.85,55,50,0
LONDON,29.86,56,52,0
YARMOUTH,29.76,56,51,0
SCARBOROUGH,29.72,54,50,0
SHIELDS,29.74,52,49,0
HELIGOLAND,29.57,52,50,0
HELDER,29.7,55,999,0
COPENHAGEN,29.35,55,999,0
BREST,30.08,56,999,0
BAYONNE,999,62,999,0
LISBON,30.02,75,999,0
