1863,11,18,Wednesday,DWR_1863_11-17.jpg
NAIRN,29.91,42,1,0.13
ABERDEEN,29.92,48,1,0
LEITH,29.99,53,3,0
SHIELDS,30.11,53,3,0
SCARBOROUGH,30.14,49,2,0
GREENCASTLE,29.86,50,2,0.05
GALWAY,29.84,51,2,0.12
VALENTIA,29.77,52,2,0.09
QUEENSTOWN,29.84,55,2,0
LIVERPOOL,30.12,50,2,0
HOLYHEAD,30.02,51,1,0
PEMBROKE,30.1,52,999,0.09
PENZANCE,30.14,52,3,0
BREST,30.24,45,1,0
LORIENT,30.16,39,0,0
ROCHEFORT,30.16,39,3,0
PLYMOUTH,30.18,52,4,0
WEYMOUTH,30.24,50,2,0.09
PORTSMOUTH,30.25,51,3,0
LONDON,30.27,49,4,0
DOVER,30.32,51,1,0
YARMOUTH,30.26,49,1,0
HELIGOLAND,30.18,50,0,0.05
