1863,2,3,Tuesday,DWR_1863_02-1.jpg
NAIRN,29.22,36,1,0.25
ABERDEEN,29.3,38,2,0
LEITH,29.39,41,999,0
ARDROSSAN,29.43,46,2,0.13
PORTRUSH,29.42,40,3,0
GALWAY,29.57,40,2,0.35
VALENTIA,29.71,38,2,0.47
QUEENSTOWN,29.7,41,1,0.49
HOLYHEAD,29.6,44,2,0
LIVERPOOL,29.63,44,2,0.01
PEMBROKE,29.72,45,4,1.08
PENZANCE,29.84,47,1,0.8
JERSEY,999,999,999,999
BREST,29.88,48,0,1.18
LORIENT,29.92,52,1,0.16
ROCHEFORT,30.12,39,1,0
PLYMOUTH,29.81,45,1,0.63
WEYMOUTH,29.81,46,1,0.89
PORTSMOUTH,29.77,48,1,0.41
KEW,29.78,47,1,0
LONDON,29.77,48,1,0.12
YARMOUTH,29.77,47,1,0
SCARBOROUGH,29.58,44,1,0
SHIELDS,29.54,43,3,0
HELIGOLAND,29.88,42,0,0.23
COPENHAGEN,29.88,40,999,0
HELDER,29.84,43,999,0
BAYONNE,999,39,999,0
OPORTO,999,999,999,999
LISBON,30.32,50,999,0
