1863,7,20,Monday,DWR_1863_07-16.jpg
NAIRN,29.8,48,3,0.09
ABERDEEN,29.74,49,4,0.7
LEITH,29.8,55,7,0
SHIELDS,29.83,52,6,0
SCARBOROUGH,29.79,54,3,0
GREENCASTLE,29.86,54,5,0.1
GALWAY,29.9,53,4,0
VALENTIA,29.82,57,5,0
QUEENSTOWN,29.83,60,2,0
LIVERPOOL,29.82,57,6,0.03
HOLYHEAD,29.8,53,4,0
PEMBROKE,29.84,59,4,0
PENZANCE,29.82,58,3,0
BREST,29.76,55,2,0.12
LORIENT,29.8,57,0,0.2
ROCHEFORT,29.92,50,2,0
PLYMOUTH,29.82,60,5,0
WEYMOUTH,29.84,60,6,0
PORTSMOUTH,29.79,60,4,0
LONDON,29.84,56,6,0.03
DOVER,29.83,999,999,0
YARMOUTH,29.79,56,5,0
HELDER,29.75,57,999,0
HELIGOLAND,29.7,53,4,0.13
