1862,9,19,Friday,DWR_1862_09-17.jpg
NAIRN,30.45,59,57,0
ABERDEEN,30.48,59,57,0
LEITH,30.43,61,59,0
BERWICK,30.46,61,57,0
ARDROSSAN,30.44,58,56,0
PORTRUSH,30.48,59,55,0
GALWAY,30.48,50,49,0
VALENTIA,30.43,56,54,0
QUEENSTOWN,30.41,55,54,0
HOLYHEAD,30.44,59,56,0
LIVERPOOL,30.48,51,50,0
PEMBROKE,30.41,52,51,0
PENZANCE,30.36,56,55,0
PLYMOUTH,30.35,59,55,0
JERSEY,30.3,60,58,0
WEYMOUTH,30.37,56,54,0
PORTSMOUTH,30.34,59,56,0
DOVER,30.37,999,999,0
LONDON,30.39,59,57,0
YARMOUTH,30.44,61,59,0
SCARBOROUGH,30.44,55,51,0
SHIELDS,30.48,53,50,0
HELIGOLAND,30.48,58,56,0
HELDER,30.45,58,999,0
COPENHAGEN,30.48,56,999,0
BREST,30.25,58,999,0
BAYONNE,999,61,999,0
LISBON,999,999,999,999
