1862,7,30,Wednesday,DWR_1862_07-29.jpg
NAIRN,30.03,54,50,0
ABERDEEN,30.06,56,50,0.07
LEITH,999,58,55,0
BERWICK,30.09,57,52,0
ARDROSSAN,30.05,55,52,0
PORTRUSH,30.14,54,50,0
GALWAY,30.12,56,54,0
VALENTIA,30.14,57,56,0
QUEENSTOWN,30.17,56,55,0
HOLYHEAD,30.11,59,54,0
LIVERPOOL,30.14,57,53,0
PEMBROKE,30.22,62,53,0
PENZANCE,30.22,62,60,0
PLYMOUTH,30.13,59,54,0
JERSEY,30.12,60,56,0
WEYMOUTH,30.11,60,55,0
PORTSMOUTH,30.05,58,54,0
DOVER,30.04,65,60,0
LONDON,30.08,60,57,0.08
YARMOUTH,30.08,61,56,0
SCARBOROUGH,30.09,58,53,0
SHIELDS,30.09,53,48,0
HELIGOLAND,30.08,58,54,0
HELDER,30.08,61,999,0
COPENHAGEN,30.03,58,999,0
BREST,30.18,56,999,0
BAYONNE,999,66,999,0
LISBON,30.09,73,999,0
