1862,4,14,Monday,DWR_1862_04-11.jpg
NAIRN,30.03,37,35,0
ABERDEEN,30.06,36,34,0.3
LEITH,30.08,40,32,0
BERWICK,30.11,42,37,0
ARDROSSAN,30.05,41,38,0
PORTRUSH,30.12,42,39,0
GALWAY,30.25,47,45,0
SHIELDS,30.15,39,35,0
SCARBOROUGH,30.16,39,36,0.25
HELIGOLAND,29.82,43,42,0
LIVERPOOL,30.25,42,38,0
QUEENSTOWN,30.36,46,45,0
VALENTIA,30.38,47,45,0
YARMOUTH,30.15,37,35,0.83
LONDON,30.27,38,33,0
DOVER,30.22,43,41,0
PORTSMOUTH,30.25,40,36,0
PORTLAND,30.31,42,38,0.08
PLYMOUTH,30.33,42,40,0
PENZANCE,30.4,45,44,0
JERSEY,30.36,40,38,0
COPENHAGEN,29.58,36,999,0
HELDER,30.03,33,999,0
BREST,30.41,37,999,0
BAYONNE,999,41,999,0
LISBON,30,51,999,0
