1863,2,14,Saturday,DWR_1863_02-11.jpg
NAIRN,30.56,34,999,0
ABERDEEN,30.63,37,2,0
LEITH,30.65,39,3,0
ARDROSSAN,30.62,38,2,0
PORTRUSH,30.54,38,1,0
GALWAY,30.47,42,1,0
VALENTIA,30.39,47,999,0
QUEENSTOWN,30.47,47,1,0
HOLYHEAD,30.56,41,1,0
LIVERPOOL,30.67,35,1,0
PEMBROKE,30.59,41,9,0
PENZANCE,30.48,45,2,0
JERSEY,999,999,999,999
BREST,30.39,37,2,0
LORIENT,30.36,39,1,0
ROCHEFORT,30.32,34,2,0
PLYMOUTH,30.51,42,2,0
WEYMOUTH,30.58,39,1,0
PORTSMOUTH,30.6,39,2,0
KEW,30.67,38,2,0
LONDON,30.67,39,2,0
YARMOUTH,30.73,40,2,0
SCARBOROUGH,30.72,39,2,0
SHIELDS,30.73,36,1,0
HELIGOLAND,30.73,38,0,0
COPENHAGEN,30.61,33,999,0
HELDER,30.73,41,999,0
BAYONNE,999,40,999,0
OPORTO,999,999,999,999
LISBON,30.08,50,999,0
