1862,2,24,Monday,DWR_1862_02-23.jpg
NAIRN,30.31,40,39,0
ABERDEEN,30.4,41,40,0
LEITH,30.32,42,40,0
BERWICK,30.37,44,41,0
ARDROSSAN,30.28,47,45,0
PORTRUSH,30.18,45,44,0
GALWAY,30.06,49,48,0
SHIELDS,30.35,43,40,0
SCARBOROUGH,30.32,40,39,0
HELIGOLAND,30.37,34,33,0
LIVERPOOL,30.22,44,43,0
QUEENSTOWN,30.02,51,50,0
VALENTIA,29.95,51,50,0.3
YARMOUTH,30.27,39,38,0
LONDON,30.22,44,41,0
DOVER,30.17,41,40,0
PORTSMOUTH,30.14,46,45,0
PORTLAND,30.12,44,43,0
PLYMOUTH,30.06,46,45,0
PENZANCE,30.06,49,48,0
COPENHAGEN,30.36,34,999,0
HELDER,30.3,37,999,0
BREST,29.97,45,999,0
BAYONNE,29.89,44,999,0
LISBON,29.79,55,999,0
