1863,6,19,Friday,DWR_1863_06-17.jpg
NAIRN,29.86,53,2,0
ABERDEEN,29.84,54,3,0
LEITH,29.82,54,2,0
ARDROSSAN,29.8,55,999,0
GREENCASTLE,29.79,54,2,0
GALWAY,29.78,61,2,0
VALENTIA,29.8,56,999,0.14
QUEENSTOWN,29.72,59,3,0.52
SHIELDS,29.84,56,3,0
SCARBOROUGH,29.77,55,1,0
LIVERPOOL,29.73,56,3,0.04
HOLYHEAD,29.69,59,2,0
PEMBROKE,29.63,58,1,0.19
PENZANCE,29.55,57,1,0.35
BREST,29.53,55,1,999
LORIENT,29.49,54,1,0.39
ROCHEFORT,29.84,57,2,0.12
BAYONNE,29.88,63,999,0
PLYMOUTH,29.51,58,1,0.28
WEYMOUTH,29.53,56,1,0.16
PORTSMOUTH,29.5,57,2,0.52
LONDON,29.56,56,1,1.15
DOVER,29.59,60,999,0.45
YARMOUTH,29.64,60,3,0
HELDER,29.71,61,999,0
HELIGOLAND,29.83,58,1,0
COPENHAGEN,29.89,60,999,0
LISBON,999,999,999,999
