1870,8,17,Wednesday,DWR_1870_08-32.jpg
HEARTSCONTENT,29.95,62,0,
CHRISTIANSUND,999,50, NaN,
SKUDDESNAES,29.87,54, NaN,
THURSO,30.11,56,0.05,
WICK,30.1,57,0.03,
OXO,29.76,58, NaN,
NAIRN,30.12,60,0,
ABERDEEN,30.13,59,0,
LEITH,30.09,63,0,
ARDROSSAN,30.17,63,0,
GREENCASTLE,30.18,60,0,
SHIELDS,30.13,60,0,
SCARBOROUGH,30.12,59,0,
LIVERPOOL,30.11,61,0,
HOLYHEAD,30.13,59,0,
HELDER,29.97,61, NaN,
YARMOUTH,30.07,62,0,
VALENTIA,30.11,60,0,
ROCHESPOINT,30.1,60,0,
PEMBROKE,30.1,59,0,
LONDON,30.09,61,0,
CAPECLEAR,999,999,999,
CAPGRISNEZ,30.04,63,0,
BRUSSELS,30.09,61, NaN,
PORTSMOUTH,30.06,999,0,
PLYMOUTH,30.08,63,0,
PENZANCE,30.08,63,0,
PARIS,30.02,58,0,
STRASBOURG,999,999, NaN,
BREST,999,60,0,
LORIENT,29.95,61,0,
ROCHEFORT,29.89,65,0,
LYONS,29.87,70, NaN,
BIARRITZ,29.77,68,0,
CORUNNA,999,999, NaN,
TOULON,29.99,63,0,
