1863,7,4,Saturday,DWR_1863_07-3.jpg
NAIRN,30.2,58,5,0
ABERDEEN,30.22,57,1,0
LEITH,30.23,58,6,0
SHIELDS,30.29,57,5,0
SCARBOROUGH,30.27,56,2,0
GREENCASTLE,30.29,57,4,0
GALWAY,30.34,60,999,0
VALENTIA,30.36,57,4,0
QUEENSTOWN,30.34,59,2,0
LIVERPOOL,30.32,59,6,0
HOLYHEAD,30.3,56,4,0
PEMBROKE,30.32,59,3,0
PENZANCE,30.3,61,1,0
BREST,30.24,59,2,0
LORIENT,30.2,61,2,0
ROCHEFORT,30.2,64,4,0
PLYMOUTH,30.29,63,8,0
WEYMOUTH,30.28,64,7,0
PORTSMOUTH,30.24,62,6,0
LONDON,30.3,57,3,0
DOVER,30.28,64,3,0
YARMOUTH,30.28,60,4,0
HELDER,30.27,57,999,0
HELIGOLAND,30.16,54,3,0
