1863,9,28,Monday,DWR_1863_09-23.jpg
NAIRN,29.44,44,3,0.15
ABERDEEN,29.48,45,3,0
LEITH,29.56,48,3,0.14
SHIELDS,29.64,50,3,0.3
SCARBOROUGH,29.65,48,1,0
GREENCASTLE,29.58,44,1,0.35
GALWAY,29.73,57,2,1
VALENTIA,29.86,52,4,0.47
QUEENSTOWN,999,48,1,0
LIVERPOOL,29.7,49,3,0.68
HOLYHEAD,29.67,51,3,1.5
PEMBROKE,29.89,50,4,0.53
PENZANCE,29.9,52,1,0.38
BREST,29.96,50,0,0.63
LORIENT,29.92,57,4,0
ROCHEFORT,30.12,52,0,0
PLYMOUTH,29.86,52,4,0
WEYMOUTH,29.81,51,1,0.32
PORTSMOUTH,29.76,56,1,0.08
LONDON,29.76,56,2,0
DOVER,29.84,59,1,0
YARMOUTH,29.76,56,2,0
HELIGOLAND,30,53,2,0
