1863,8,26,Wednesday,DWR_1863_08-22.jpg
NAIRN,29.42,54,1,0
ABERDEEN,29.36,53,1,0.5
LEITH,29.36,57,5,999
SHIELDS,999,57,5,0
SCARBOROUGH,29.38,55,2,999
GREENCASTLE,29.44,999,1,999
GALWAY,29.43,59,1,0
VALENTIA,29.41,58,3,0
QUEENSTOWN,999,58,2,999
LIVERPOOL,29.47,57,3,0.43
HOLYHEAD,29.43,57,2,0.55
PEMBROKE,29.47,56,1,1
PENZANCE,29.46,57,5,0.45
BREST,29.45,63,0,0.24
LORIENT,29.53,63,2,0.35
ROCHEFORT,29.8,63,1,999
PLYMOUTH,29.47,60,3,0.31
WEYMOUTH,29.51,59,3,0.09
PORTSMOUTH,29.52,61,3,0.5
LONDON,29.56,57,4,0.41
DOVER,29.59,62,1,0.5
YARMOUTH,29.54,57,3,0
HELIGOLAND,29.49,59,2,0.06
