1862,11,15,Saturday,DWR_1862_11-13.jpg
NAIRN,30.19,34,2,0
ABERDEEN,30.17,37,2,0
LEITH,30.22,39,3,0
BERWICK,30.19,39,4,0
ARDROSSAN,30.24,39,2,0
PORTRUSH,30.22,43,999,0
GALWAY,30.46,36,1,0
VALENTIA,30.42,45,2,0.11
QUEENSTOWN,30.39,40,1,0
HOLYHEAD,30.22,45,4,0.2
LIVERPOOL,30.22,41,3,0.04
PEMBROKE,30.23,44,2,0.18
PENZANCE,30.23,47,1,0.15
PLYMOUTH,30.17,40,1,0
JERSEY,30.08,46,3,0
WEYMOUTH,30.12,43,2,0
PORTSMOUTH,30.07,40,2,0.13
DOVER,29.99,43,2,0
LONDON,30.07,40,2,0.05
YARMOUTH,30.02,44,2,0
SCARBOROUGH,30.1,44,2,0.19
SHIELDS,30.19,38,3,0
HELIGOLAND,29.91,42,1,0
HELDER,29.88,41,999,0
COPENHAGEN,30.01,39,999,0
BREST,30.13,45,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,47,999,0
LISBON,999,999,999,999
