1863,9,25,Friday,DWR_1863_09-21.jpg
NAIRN,29.54,47,1,0.41
ABERDEEN,29.54,50,2,0.28
LEITH,29.57,50,2,0
SHIELDS,29.58,51,2,0.13
SCARBOROUGH,29.55,49,1,0
GREENCASTLE,29.62,50,1,0.9
GALWAY,29.74,57,1,0
VALENTIA,29.78,56,3,0
QUEENSTOWN,999,51,1,0
LIVERPOOL,29.6,53,1,0.24
HOLYHEAD,29.61,50,3,0.22
PEMBROKE,29.65,52,2,0.11
PENZANCE,29.68,53,2,0.15
BREST,29.73,55,2,0.39
LORIENT,29.73,55,2,0.08
ROCHEFORT,29.84,54,0,0.12
PLYMOUTH,29.71,53,4,0
WEYMOUTH,29.68,55,4,0.13
PORTSMOUTH,29.65,54,3,0.57
LONDON,29.65,48,3,0.17
DOVER,29.72,999,999,0.7
YARMOUTH,29.65,51,2,0
HELIGOLAND,29.71,53,1,0
