1862,2,22,Saturday,DWR_1862_02-21.jpg
NAIRN,29.68,49,45,0
ABERDEEN,29.8,45,44,0
LEITH,29.74,48,46,0
BERWICK,29.79,45,43,0
ARDROSSAN,29.72,48,46,0.34
PORTRUSH,29.65,43,42,0
GALWAY,29.67,43,42,0
SHIELDS,29.79,45,44,0
SCARBOROUGH,29.79,45,44,0
HELIGOLAND,30.09,36,35,0
LIVERPOOL,29.72,48,46,0
QUEENSTOWN,29.73,50,49,0
VALENTIA,29.66,49,48,0.7
YARMOUTH,29.83,44,43,0
LONDON,29.73,47,45,0
DOVER,29.73,45,44,0
PORTSMOUTH,29.54,45,44,0
PORTLAND,29.66,47,46,0.11
PLYMOUTH,29.65,49,48,0
PENZANCE,29.73,49,48,0.7
COPENHAGEN,30.08,34,999,0
HELDER,29.93,40,999,0
BREST,29.75,51,999,0
BAYONNE,30,52,999,0
LISBON,999,999,999,999
