1863,2,4,Wednesday,DWR_1863_02-2.jpg
NAIRN,29.43,41,3,0.1
ABERDEEN,29.6,38,1,0
LEITH,29.68,43,2,0
ARDROSSAN,29.68,45,2,0.13
PORTRUSH,29.72,42,3,0
GALWAY,29.95,48,1,0.5
VALENTIA,30.14,48,2,0.43
QUEENSTOWN,30.12,47,1,0.19
HOLYHEAD,29.92,46,0,0.11
LIVERPOOL,30,44,3,0
PEMBROKE,30.12,47,1,0.18
PENZANCE,30.31,47,1,0.4
JERSEY,999,999,999,999
BREST,30.43,43,2,0.2
LORIENT,30.43,39,1,0
ROCHEFORT,30.51,39,1,0.32
PLYMOUTH,30.29,46,5,0
WEYMOUTH,30.27,47,3,0.17
PORTSMOUTH,30.21,45,2,0.09
KEW,30.24,36,2,0
LONDON,30.23,37,2,0.01
YARMOUTH,30.16,36,1,0
SCARBOROUGH,29.96,37,2,0
SHIELDS,29.89,42,2,0
HELIGOLAND,29.99,40,0,0.3
COPENHAGEN,29.83,44,999,0
HELDER,30.12,41,999,0
BAYONNE,999,46,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
