1863,12,17,Thursday,DWR_1863_12-14.jpg
NAIRN,30.11,40,3,0.1
ABERDEEN,?29.86,42,3,0.16
LEITH,30.08,42,999,0.17
SHIELDS,29.92,45,4,0
SCARBOROUGH,29.75,45,3,0.15
GREENCASTLE,30.23,41,1,0.29
GALWAY,30.37,42,1,0.27
VALENTIA,30.37,44,2,0.09
CAPE CLEAR,30.36,41,1,0
QUEENSTOWN,30.16,44,2,0.07
LIVERPOOL,30.04,45,4,0.12
HOLYHEAD,30.09,47,3,0
PEMBROKE,30.14,46,3,0
PENZANCE,30.22,46,2,0.15
BREST,999,999,999,999
LORIENT,30.08,39,1,0.08
ROCHEFORT,30.12,39,2,0.12
PLYMOUTH,30.1,45,2,0
WEYMOUTH,30.01,45,3,0.07
PORTSMOUTH,29.94,45,3,0
LONDON,29.85,43,4,0
DOVER,29.85,45,2,0.07
YARMOUTH,29.66,42,1,0
HELIGOLAND,29.35,42,0,0
