1862,3,3,Monday,DWR_1862_03-1.jpg
NAIRN,29.36,20,999,0
ABERDEEN,29.29,31,999,0
LEITH,29.31,32,30,0
BERWICK,29.29,30,999,0.53
ARDROSSAN,29.35,33,31,?0.17
PORTRUSH,29.38,35,34,0.5
GALWAY,29.51,34,31,0
SHIELDS,29.26,25,999,0
SCARBOROUGH,29.23,33,999,0
HELIGOLAND,29.21,31,999,0
LIVERPOOL,29.32,32,30,0
QUEENSTOWN,29.54,37,36,0
VALENTIA,29.54,39,38,0.11
YARMOUTH,29.23,33,31,0
LONDON,29.29,31,999,0
DOVER,29.29,38,35,0
PORTSMOUTH,29.3,35,33,0
PORTLAND,29.33,38,36,0
PLYMOUTH,29.3,35,34,0
PENZANCE,29.4,40,39,0
COPENHAGEN,29.15,29,999,0
HELDER,29.22,999,999,0
BREST,29.38,38,999,0
BAYONNE,29.45,53,999,0
LISBON,999,999,999,999
