1862,9,12,Friday,DWR_1862_09-11.jpg
NAIRN,29.74,58,56,0
ABERDEEN,29.83,53,52,0
LEITH,29.88,58,56,0
BERWICK,29.93,56,53,0
ARDROSSAN,29.9,55,52,0.23
PORTRUSH,29.93,59,57,0
GALWAY,30.06,58,57,0.15
VALENTIA,30.16,59,58,0
QUEENSTOWN,30.14,60,59,0
HOLYHEAD,30.04,58,57,0
LIVERPOOL,30.09,55,53,0
PEMBROKE,30.15,59,58,0.17
PENZANCE,30.22,58,57,0
PLYMOUTH,30.21,58,56,0.09
JERSEY,30.26,57,54,0
WEYMOUTH,30.21,58,54,0.07
PORTSMOUTH,30.19,56,53,0
DOVER,30.19,58,56,0
LONDON,30.19,52,50,0
YARMOUTH,30.17,53,51,0
SCARBOROUGH,30.07,51,50,0
SHIELDS,30,52,50,0
HELIGOLAND,30.16,55,51,0
HELDER,30.19,57,999,0
COPENHAGEN,30.15,53,999,0
BREST,30.27,61,999,0
BAYONNE,999,62,999,0
LISBON,999,999,999,999
